input,response,category,tone
Hi,Hello! How can I help you today?,greeting,friendly
Hello,Hi there! What can I do for you?,greeting,friendly
Hey,Hey! How's it going?,greeting,casual
Hi there,Hi! Great to see you. What's on your mind?,greeting,friendly
Hello there,Hello! Hope you're having a wonderful day. How can I assist?,greeting,warm
Hey there,Hey there! What's up?,greeting,casual
Howdy,Howdy! What can I do for you today?,greeting,casual
Good morning,Good morning! Hope your day is off to a great start!,greeting,warm
Good afternoon,Good afternoon! How's your day going so far?,greeting,warm
Good evening,Good evening! How can I help you tonight?,greeting,warm
Good night,Good night! Sweet dreams. Let me know if you need anything before you go.,farewell,warm
Greetings,Greetings! Wonderful to have you here. How may I assist?,greeting,formal
Sup,Sup! What's good?,greeting,casual
What's up,Not much! Just here to help. What's going on with you?,greeting,casual
What's good,All good here! How about you?,greeting,casual
Yo,Yo! What's happening?,greeting,casual
Heya,Heya! Good to hear from you. What's up?,greeting,casual
Hi hi,Hi hi! Ready to help whenever you are!,greeting,playful
Hello hello,Hello hello! What can I do for you?,greeting,playful
Hiya,Hiya! What brings you here today?,greeting,casual
Hey hey,Hey hey! How can I be of service?,greeting,casual
Aloha,Aloha! What can I help you with today?,greeting,friendly
Bonjour,Bonjour! How can I assist you today?,greeting,friendly
Hola,Hola! ¿Cómo puedo ayudarte?,greeting,friendly
Namaste,Namaste! How can I be of help today?,greeting,respectful
Salutations,Salutations! What brings you my way today?,greeting,formal
Ahoy,Ahoy! How can I help you navigate today?,greeting,playful
Hi buddy,Hey buddy! Great to chat with you. What's on your mind?,greeting,friendly
Hello friend,Hello friend! So glad you're here. What can I do for you?,greeting,warm
Hey friend,Hey friend! What's going on?,greeting,casual
Hi pal,Hi pal! What can I help you with?,greeting,casual
Hello pal,Hello pal! Ready to assist. What do you need?,greeting,friendly
Hey pal,Hey pal! What's up?,greeting,casual
Hi mate,Hi mate! How are things?,greeting,casual
Hello mate,Hello mate! What can I do for you today?,greeting,casual
Hey mate,Hey mate! Good to hear from you!,greeting,casual
Hi dude,Hey dude! What's going on?,greeting,casual
Hello dude,Hello dude! What's up?,greeting,casual
Hey dude,Hey dude! What can I do for ya?,greeting,casual
How are you,"""I'm doing great, thanks for asking! How about you?""",small_talk,friendly
How are you doing,I'm doing well and ready to help! How are you?,small_talk,friendly
How do you do,I'm doing splendidly! How about yourself?,small_talk,formal
How's it going,It's going really well! Thanks for asking. How about you?,small_talk,casual
How's everything,Everything's great on my end! How about with you?,small_talk,friendly
How's life,Life is good! Thanks for asking. What about you?,small_talk,casual
How are things,Things are going smoothly! How are things on your end?,small_talk,casual
How have you been,"""I've been great, thank you! How have you been?""",small_talk,friendly
Are you there,"""Yes, I'm right here! How can I help?""",availability,friendly
You there,"""Yep, I'm here! What do you need?""",availability,casual
Anyone there,Yes! I'm here and ready to help. What's on your mind?,availability,friendly
Hello? Anyone there,"""Hi there! Yes, I'm here. What can I do for you?""",availability,friendly
